latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,total_rooms/population
37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,2.0342612419700212
37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,2.1863636363636365
37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,2.3064066852367686
37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,1.8262987012987013
37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,1.8046594982078854
37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,1.475177304964539
37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,1.3514285714285714
37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,1.2190476190476192
37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,1.7606032045240338
37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,1.6442062276671772
37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,1.4027538726333908
37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,1.6690442225392297
37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,1.640625
37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,1.9903536977491962
37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,2.04532967032967
37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,1.2914338919925512
37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,1.6808510638297873
37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,2.023465703971119
37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,1.569767441860465
37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,2.0159151193633953
37.81,52.0,1224.0,237.0,521.0,159.0,1.1909999999999998,76100.0,NEAR BAY,2.349328214971209
37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,2.1122448979591835
37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,1.6721854304635762
37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,1.8464467005076142
37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,2.08739837398374
37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,2.0875912408759123
37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,1.5364783324190894
37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,1.9591836734693877
37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,1.6065292096219932
37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,1.5071428571428571
37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,0.6666666666666666
37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,2.8793103448275863
37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,1.6233595800524934
37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,2.3576051779935274
37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,1.6740638002773924
37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,1.6555977229601517
37.8,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,1.9883720930232558
37.81,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,1.5172413793103448
37.81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,1.1475409836065573
37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,1.7
37.81,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,1.115606936416185
37.81,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,2.0299785867237685
37.81,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,2.050397877984085
37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,1.5120274914089347
37.81,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,1.6025641025641026
37.8,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,0.84
37.8,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,0.6287878787878788
37.8,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,1.2425
37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,0.23783185840707965
37.8,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,0.5026178010471204
37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,1.4693593314763231
37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,1.2923888470233609
37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,1.5361775727875469
37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,2.244140625
37.81,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,1.6584158415841583
37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,1.8191699604743083
37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,1.9766050054406965
37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,2.0208333333333335
37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,2.2653140850565743
37.81,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,2.1953727506426737
37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,2.4078212290502794
37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,2.183339531424321
37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,2.2388724035608307
37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,2.857545839210155
37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,2.56268221574344
37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,2.410664819944598
37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,2.1953947368421054
37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,2.589090909090909
37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,2.1090808416389812
37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,2.26357918810749
37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,2.5303514376996805
37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,2.3896296296296295
37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY,2.3951310861423223
37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,1.9632525410476935
37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,2.346024636058231
37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,2.5927835051546393
37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,2.8916211293260474
37.83,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,3.2443324937027707
37.85,37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY,3.4081632653061225
37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,2.639019792648445
37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,2.998300764655905
37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,2.8990011098779136
37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457000000000002,337300.0,NEAR BAY,2.603151157065485
37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,2.8467507274490784
37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,NEAR BAY,2.5213549337260677
37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,NEAR BAY,3.088490099009901
37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY,2.6196682464454977
37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,NEAR BAY,2.6649122807017545
37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,NEAR BAY,3.0337711069418387
37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,2.672574626865672
37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,NEAR BAY,3.1130915795943452
37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,335200.0,NEAR BAY,2.863930885529158
37.83,26.0,1589.0,223.0,542.0,211.0,8.401,351200.0,NEAR BAY,2.9317343173431736
37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,NEAR BAY,2.7095310136157336
37.82,32.0,1835.0,264.0,635.0,263.0,8.317,365900.0,NEAR BAY,2.8897637795275593
37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,NEAR BAY,2.926190476190476
37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,NEAR BAY,2.9802371541501977
37.81,30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,NEAR BAY,2.3174603174603177
37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,NEAR BAY,2.921279212792128
37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,NEAR BAY,2.7778819119025306
37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,NEAR BAY,2.2484126984126984
37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,NEAR BAY,2.370136698212408
37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,NEAR BAY,2.723529411764706
37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,273700.0,NEAR BAY,2.5764705882352943
37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,227700.0,NEAR BAY,1.9335695305580158
37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0,NEAR BAY,2.130475302889096
37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,239800.0,NEAR BAY,2.2962025316455694
37.81,52.0,2024.0,339.0,756.0,340.0,4.072,270100.0,NEAR BAY,2.677248677248677
37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,302100.0,NEAR BAY,2.8471953578336557
37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0,NEAR BAY,2.583227445997459
37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0,NEAR BAY,2.3415032679738563
37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,390100.0,NEAR BAY,2.8667972575905973
37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,410300.0,NEAR BAY,2.6887340301974447
37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,NEAR BAY,2.6075550891920254
37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0,NEAR BAY,2.3501577287066246
37.81,52.0,2814.0,365.0,878.0,352.0,7.507999999999999,348700.0,NEAR BAY,3.20501138952164
37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,NEAR BAY,2.2799564270152506
37.8,52.0,888.0,168.0,360.0,175.0,2.1944,211500.0,NEAR BAY,2.466666666666667
37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,NEAR BAY,1.7435254803675857
37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,NEAR BAY,2.3979007633587788
37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,NEAR BAY,2.353969410050983
37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225000.0,NEAR BAY,2.402332361516035
37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,NEAR BAY,1.739514348785872
37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,NEAR BAY,1.3851224105461393
37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,NEAR BAY,1.848689138576779
37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,125000.0,NEAR BAY,1.3936806148590948
37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,97500.0,NEAR BAY,1.2108474576271187
37.79,50.0,629.0,188.0,742.0,196.0,2.6458,125000.0,NEAR BAY,0.8477088948787062
37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,138800.0,NEAR BAY,1.232965009208103
37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0,NEAR BAY,1.0200607902735563
37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,151800.0,NEAR BAY,1.3707602339181286
37.8,52.0,996.0,228.0,731.0,228.0,2.2697,127000.0,NEAR BAY,1.362517099863201
37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,128600.0,NEAR BAY,1.4230769230769231
37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,140600.0,NEAR BAY,1.5765407554671969
37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,182700.0,NEAR BAY,1.686727122835944
37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,146900.0,NEAR BAY,1.544041450777202
37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,122800.0,NEAR BAY,1.364875094625284
37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,169300.0,NEAR BAY,1.9085406859448555
37.8,52.0,783.0,184.0,488.0,186.0,1.9375,126600.0,NEAR BAY,1.6045081967213115
37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,127900.0,NEAR BAY,1.6754478398314014
37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,123500.0,NEAR BAY,1.5195822454308094
37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,111900.0,NEAR BAY,1.4834123222748816
37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,NEAR BAY,1.365468284863751
37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,107900.0,NEAR BAY,1.0747438215792646
37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0,NEAR BAY,0.9881305637982196
37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,105500.0,NEAR BAY,1.0034153005464481
37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,95500.0,NEAR BAY,1.1091350040420371
37.79,52.0,674.0,180.0,647.0,168.0,3.375,116100.0,NEAR BAY,1.0417310664605872
37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,112200.0,NEAR BAY,1.266355140186916
37.79,51.0,175.0,43.0,228.0,55.0,2.1,75000.0,NEAR BAY,0.7675438596491229
37.79,39.0,461.0,129.0,381.0,123.0,1.6,112500.0,NEAR BAY,1.20997375328084
37.79,52.0,902.0,237.0,846.0,227.0,3.625,125000.0,NEAR BAY,1.066193853427896
37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,115000.0,NEAR BAY,1.4303797468354431
37.77,52.0,391.0,128.0,520.0,138.0,1.6471,95000.0,NEAR BAY,0.7519230769230769
37.77,52.0,1137.0,301.0,866.0,259.0,2.59,96400.0,NEAR BAY,1.3129330254041571
37.77,52.0,769.0,206.0,612.0,183.0,2.57,72000.0,NEAR BAY,1.2565359477124183
37.78,52.0,472.0,146.0,415.0,126.0,2.6429,71300.0,NEAR BAY,1.1373493975903615
37.78,52.0,862.0,215.0,994.0,213.0,3.0257,80800.0,NEAR BAY,0.8672032193158954
37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,128800.0,NEAR BAY,1.259016393442623
37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,112500.0,NEAR BAY,0.9428950863213812
37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0,NEAR BAY,0.9781746031746031
37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,118100.0,NEAR BAY,0.8318521151795236
37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,122500.0,NEAR BAY,1.1451721809588116
37.79,49.0,1175.0,217.0,859.0,219.0,2.293,106300.0,NEAR BAY,1.367869615832363
37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,NEAR BAY,1.4570895522388059
37.79,30.0,610.0,145.0,425.0,140.0,1.6198,122700.0,NEAR BAY,1.4352941176470588
37.79,40.0,930.0,199.0,564.0,184.0,1.3281,113300.0,NEAR BAY,1.648936170212766
37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,109500.0,NEAR BAY,1.5473465140478668
37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,164700.0,NEAR BAY,1.506379234491861
37.79,52.0,762.0,190.0,600.0,195.0,3.0893,125000.0,NEAR BAY,1.27
37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,124700.0,NEAR BAY,1.4365513054037644
37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,136700.0,NEAR BAY,1.5203996669442132
37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,141700.0,NEAR BAY,1.4070143054914628
37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,150000.0,NEAR BAY,1.74653887113951
37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,138800.0,NEAR BAY,1.7962747380675204
37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,139200.0,NEAR BAY,1.5583388266315095
37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,143800.0,NEAR BAY,1.52668416447944
37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,NEAR BAY,1.806131650135257
37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,151000.0,NEAR BAY,1.6527436527436528
37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,273000.0,NEAR BAY,2.7309417040358746
37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,217100.0,NEAR BAY,2.191218130311615
37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,187100.0,NEAR BAY,1.8688263409453
37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,239600.0,NEAR BAY,2.574626865671642
37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,229700.0,NEAR BAY,2.610671936758893
37.8,48.0,1694.0,259.0,610.0,238.0,4.744,257300.0,NEAR BAY,2.777049180327869
37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,246900.0,NEAR BAY,2.5234375
37.79,50.0,968.0,195.0,462.0,184.0,2.9844,179900.0,NEAR BAY,2.0952380952380953
37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,169600.0,NEAR BAY,1.5892053973013494
37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0,NEAR BAY,1.927289896128423
37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,263400.0,NEAR BAY,2.8461538461538463
37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,231800.0,NEAR BAY,2.45750452079566
37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,140500.0,NEAR BAY,1.8100172711571676
37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,126000.0,NEAR BAY,1.7859266600594648
37.79,49.0,882.0,195.0,737.0,210.0,2.6667,122000.0,NEAR BAY,1.1967435549525103
37.79,44.0,1621.0,452.0,1354.0,491.0,2.619,134700.0,NEAR BAY,1.1971935007385524
37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,139400.0,NEAR BAY,1.3823529411764706
37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,115400.0,NEAR BAY,1.4333333333333333
37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,137300.0,NEAR BAY,1.6107913669064748
37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,137000.0,NEAR BAY,1.3868544600938968
37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,142600.0,NEAR BAY,1.3333333333333333
37.78,49.0,898.0,244.0,779.0,245.0,3.0536,137500.0,NEAR BAY,1.152759948652118
37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,111700.0,NEAR BAY,1.3080652269722344
37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,126800.0,NEAR BAY,1.3871230643846781
37.78,47.0,881.0,248.0,753.0,241.0,2.625,111300.0,NEAR BAY,1.1699867197875167
37.77,40.0,494.0,114.0,547.0,135.0,2.8015,114800.0,NEAR BAY,0.903107861060329
37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,102300.0,NEAR BAY,0.9828444936358606
37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,131900.0,NEAR BAY,0.9870588235294118
37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0,NEAR BAY,1.0609202851587816
37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546,80600.0,NEAR BAY,1.3087557603686637
37.77,52.0,591.0,173.0,353.0,137.0,4.0904,80600.0,NEAR BAY,1.6742209631728044
37.77,52.0,745.0,153.0,473.0,149.0,2.6765,88800.0,NEAR BAY,1.5750528541226216
37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338,102400.0,NEAR BAY,1.4016039481801357
37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309,98700.0,NEAR BAY,1.0431107354184277
37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,100000.0,NEAR BAY,1.2165071770334928
37.77,42.0,932.0,254.0,900.0,263.0,1.8039,92300.0,NEAR BAY,1.0355555555555556
37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,94800.0,NEAR BAY,1.4242584745762712
37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562,102000.0,NEAR BAY,1.5107421875
37.78,52.0,2300.0,443.0,1225.0,423.0,3.5398,158400.0,NEAR BAY,1.8775510204081634
37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,121600.0,NEAR BAY,1.6358543417366946
37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401,129100.0,NEAR BAY,1.6551418439716312
37.77,43.0,2430.0,502.0,1537.0,484.0,2.898,121400.0,NEAR BAY,1.5810019518542615
37.78,44.0,1729.0,414.0,1240.0,393.0,2.3125,102800.0,NEAR BAY,1.3943548387096774
37.78,52.0,1026.0,180.0,469.0,168.0,2.875,160000.0,NEAR BAY,2.1876332622601278
37.77,52.0,2170.0,428.0,1086.0,425.0,3.3715,143900.0,NEAR BAY,1.9981583793738489
37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,151200.0,NEAR BAY,2.035839160839161
